    3.7640       5.496201       0.001030
    3.7640       5.486710       0.001678
    3.7660       5.356929       0.000645
    3.7660       5.514707       0.001722
    3.7660       5.536861       0.000063
    3.7680       5.375516       0.000087
    3.7680       5.556907       0.000730
    3.7680       5.545015       0.001537
    3.7700       5.594696       0.000032
    3.7720       5.404216       0.000083
    3.7720       5.392115       0.001780
    3.7720       5.618282       0.000481
    3.7720       5.603746       0.001453
    3.7740       6.452262       0.000590
    3.7740       5.652916       0.000059
    3.7760       5.431734       0.000209
    3.7760       5.424353       0.001250
    3.7760       5.679635       0.000332
    3.7760       5.662796       0.001441
    3.7780       5.711697       0.000129
    3.7800       5.458305       0.000440
    3.7800       5.447848       0.001922
    3.7800       5.739419       0.000375
    3.7800       5.721869       0.001506
    3.7820       5.469839       0.000769
    3.7820       5.770709       0.000259
    3.7840       5.484207       0.000739
    3.7840       5.797729       0.000591
    3.7840       5.780840       0.001653
    3.7860       5.492832       0.001470
    3.7880       5.516073       0.000095
    3.7880       5.855270       0.000929
    3.7880       5.840124       0.001853
    3.7900       5.899454       0.000112
    3.7920       6.513477       0.000546
    3.7920       5.539916       0.000632
    3.7920       5.912957       0.001317
    3.7940       5.550886       0.000998
    3.7940       5.956105       0.000669
    3.7940       5.959711       0.000381
    3.7960       5.570748       0.000070
    3.7960       5.993508       0.000404
    3.7960       5.971532       0.001711
    3.7980       6.030931       0.000107
    3.8000       5.593096       0.000782
    3.8000       6.047055       0.001187
    3.8020       6.546641       0.000846
    3.8020       5.603404       0.001221
    3.8020       6.091712       0.000479
    3.8040       5.622340       0.000396
    3.8040       6.129966       0.000317
    3.8040       6.104522       0.001778
    3.8060       6.164350       0.000275
    3.8080       6.180730       0.001380
    3.8100       5.652136       0.001918
    3.8100       6.238451       0.000066
    3.8120       6.260688       0.000848
    3.8140       5.682198       0.001344
    3.8140       6.299792       0.000595
    3.8160       5.699505       0.000721
    3.8160       6.314475       0.001831
    3.8180       5.713865       0.000491
    3.8180       6.349272       0.001935
    3.8180       6.374607       0.000488
    3.8200       6.607572       0.001137
    3.8200       5.726806       0.000522
    3.8200       6.391915       0.001596
    3.8240       5.753826       0.000345
    3.8240       6.470786       0.001356
    3.8280       5.780464       0.000199
    3.8300       6.643032       0.000876
    3.8320       5.806712       0.000097
    3.8360       5.832439       0.000052
    3.8400       5.857676       0.000066
    3.8440       5.882388       0.000146
    3.8480       6.706366       0.000695
    3.8480       5.906637       0.000280
    3.8520       5.930509       0.000459
    3.8560       5.954083       0.000673
    3.8580       6.741430       0.000697
    3.8660       6.016141       0.000584
    3.8700       6.781330       0.001405
    3.8700       6.035312       0.001465
    3.8720       6.055713       0.000107
    3.8760       6.077044       0.000613
    3.8860       6.842274       0.000195
    3.8860       6.134067       0.001162
    3.8880       6.151917       0.000182
    3.8980       6.882181       0.001062
    3.8980       6.210472       0.000364
    3.9000       6.224221       0.000050
    3.9100       6.280040       0.000599
    3.9120       6.293441       0.000324
    3.9180       6.952142       0.001658
    3.9220       6.344696       0.001579
    3.9260       6.985736       0.000341
    3.9300       6.397149       0.000534
    3.9320       6.408352       0.000614
    3.9380       7.026979       0.001046
    3.9400       6.455712       0.000393
    3.9480       6.502179       0.000289
    3.9500       7.069363       0.001490
    3.9560       6.547636       0.000321
    3.9640       6.592071       0.000496
    3.9680       7.135007       0.001713
    3.9700       9.264753       0.000461
    3.9780       7.176018       0.000633
    3.9800       6.675223       0.001752
    3.9860       6.711166       0.001331
    3.9900       7.219108       0.001113
    3.9920       6.750335       0.000300
    4.0020       7.262957       0.001450
    4.0060       6.824291       0.000982
    4.0120       6.859753       0.000562
    4.0200       7.334064       0.000636
    4.0240       6.927999       0.000136
    4.0320       7.375039       0.001930
    4.0380       6.994946       0.001916
    4.0420       7.418474       0.000545
    4.0480       7.058920       0.000120
    4.0540       7.463399       0.000896
    4.0600       7.121241       0.000614
    4.0660       7.508941       0.001150
    4.0780       7.554970       0.001343
    4.0780       7.214348       0.001314
    4.0900       7.601422       0.001494
    4.0920      11.574212       0.001783
    4.0960       7.312342       0.000972
    4.1020       7.648262       0.001614
    4.1040       7.356064       0.000756
    4.1140       7.695470       0.001708
    4.1260       7.474340       0.000401
    4.1320       7.773138       0.000225
    4.1400       7.548484       0.000320
    4.1440       7.818765       0.000910
    4.1560       7.866290       0.001175
    4.1600       7.653976       0.000182
    4.1680       7.914734       0.001277
    4.1700      13.100904       0.000659
    4.1800       7.963929       0.001260
    4.1900       7.802910       0.001604
    4.1920       8.013917       0.001117
    4.2040       8.065034       0.000767
    4.2040       7.878449       0.001018
    4.2180       8.121123       0.001327
    4.2220       8.135976       0.001785
    4.2320       8.026246       0.000344
    4.2340       8.186688       0.001715
    4.2380      14.429969       0.000333
    4.2460       8.237784       0.001623
    4.2580       8.289284       0.001507
    4.2660       8.197750       0.000903
    4.2700       8.341217       0.001361
    4.2820       8.393628       0.001173
    4.2940       8.446596       0.000928
    4.3000      15.622201       0.001560
    4.3020       8.384600       0.000240
    4.3060       8.500279       0.000588
    4.3180       8.555087       0.000061
    4.3320       8.613822       0.000753
    4.3380       8.635827       0.001804
    4.3500       8.690164       0.001578
    4.3500       8.619881       0.001866
    4.3500      16.636730       0.000267
    4.3620       8.745104       0.001288
    4.3740       8.800846       0.000890
    4.3860       8.857942       0.000263
    4.3980      17.584920       0.000714
    4.4000       8.921836       0.000239
    4.4000       8.875077       0.001266
    4.4060       8.942448       0.001768
    4.4180       8.999097       0.001436
    4.4300       9.056684       0.000972
    4.4420       9.116083       0.000187
    4.4480       9.144738       0.000045
    4.4480      18.573059       0.001585
    4.4620       9.203040       0.001668
    4.4740       9.261831       0.001214
    4.4860       9.322290       0.000478
    4.4920       9.352563       0.000122
    4.4920      19.479733       0.000900
    4.5060       9.412263       0.001715
    4.5080       9.418689       0.000902
    4.5180       9.472598       0.001206
    4.5300       9.535112       0.000315
    4.5300      20.272761       0.000141
    4.5360       9.565512       0.000072
    4.5500       9.626826       0.001599
    4.5620       9.689180       0.000945
    4.5720      21.101789       0.001961
    4.5760       9.757057       0.001277
    4.6060      21.828908       0.001009
    4.6480      22.701431       0.001438
    4.6840      23.463586       0.001457
    4.7220      24.285764       0.000995
    4.7500      24.901388       0.000441
    4.7820      25.582739       0.001084
    4.8200      26.411352       0.001312
    4.8520      27.111309       0.001704
